ID,DATE,COD_ACCOUNT,ACCOUNT,Short_CLASS,CLASS,REVENUE/EXPENSES,BUDGET
314,30-11-2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1600
315,30-11-2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1700
316,30-11-2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2600
317,30-11-2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
318,30-11-2022,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,88500
319,30-11-2022,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,7080
320,30-11-2022,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,8850
321,30-11-2022,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,2213
322,30-11-2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,25000
323,30-11-2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,68000
324,30-11-2022,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5440
325,30-11-2022,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,6800
326,30-11-2022,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1700
327,30-11-2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
328,30-11-2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
329,30-11-2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
330,31-12-2022,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,57500
331,31-12-2022,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4600
332,31-12-2022,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,5750
333,31-12-2022,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1438
334,31-12-2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,97500
335,31-12-2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,275000
336,31-12-2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,55000
337,31-12-2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,13750
338,31-12-2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,14900
339,31-12-2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,37800
340,31-12-2022,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3700
341,31-12-2022,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4700
342,31-12-2022,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,15500
343,31-12-2022,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,3000
344,31-12-2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,26000
345,31-12-2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,2080
346,31-12-2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,2600
347,31-12-2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,650
348,31-12-2022,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,35800
349,31-12-2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4650
350,31-12-2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
351,31-12-2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
352,31-12-2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
353,31-12-2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1650
354,31-12-2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1700
355,31-12-2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2600
356,31-12-2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
357,31-12-2022,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,88500
358,31-12-2022,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,7080
359,31-12-2022,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,8850
360,31-12-2022,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,2213
361,31-12-2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,26000
362,31-12-2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,68000
363,31-12-2022,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5440
364,31-12-2022,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,6800
365,31-12-2022,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1700
366,31-12-2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
367,31-12-2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
368,31-12-2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
369,31-01-2023,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,59000
370,31-01-2023,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4720
371,31-01-2023,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,5900
372,31-01-2023,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1475
373,31-01-2023,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,100000
374,31-01-2023,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,275000
375,31-01-2023,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,60000
376,31-01-2023,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,13750
377,31-01-2023,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,15000
378,31-01-2023,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,27800
379,31-01-2023,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3900
380,31-01-2023,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4900
381,31-01-2023,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,16000
382,31-01-2023,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,3100
383,31-01-2023,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,31000
384,31-01-2023,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,2480
385,31-01-2023,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,3100
386,31-01-2023,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,775
387,31-01-2023,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,34800
388,31-01-2023,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,5400
389,31-01-2023,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
390,31-01-2023,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,27200
391,31-01-2023,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,3200
392,31-01-2023,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1700
393,31-01-2023,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1700
394,31-01-2023,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2700
395,31-01-2023,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,2000
396,31-01-2023,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,88500
397,31-01-2023,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,7080
398,31-01-2023,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,8850
399,31-01-2023,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,2213
400,31-01-2023,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,27000
401,31-01-2023,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,70000
402,31-01-2023,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5600
403,31-01-2023,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,7000
404,31-01-2023,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1750
405,31-01-2023,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,4500
406,31-01-2023,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,2500
407,31-01-2023,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,3500
408,28-02-2023,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,59000
409,28-02-2023,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4720
410,28-02-2023,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,5900
411,28-02-2023,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1475
412,28-02-2023,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,102500
413,28-02-2023,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,300000
414,28-02-2023,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,60000
415,28-02-2023,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,15000
416,28-02-2023,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,16100
417,28-02-2023,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,28500
418,28-02-2023,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3900
419,28-02-2023,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4900
420,28-02-2023,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,16000
421,28-02-2023,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,3200
422,28-02-2023,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,31000
423,28-02-2023,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,2480
424,28-02-2023,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,3100
425,28-02-2023,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,775
426,28-02-2023,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,36500
427,28-02-2023,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,5400
428,28-02-2023,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
429,28-02-2023,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,27200
430,28-02-2023,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1700
431,28-02-2023,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1700
432,28-02-2023,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2700
433,28-02-2023,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,2000
434,28-02-2023,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,91000
435,28-02-2023,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,7280
436,28-02-2023,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,9100
437,28-02-2023,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,2275
438,28-02-2023,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,28000
439,28-02-2023,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,70000
440,28-02-2023,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5600
441,28-02-2023,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,7000
442,28-02-2023,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1750
443,31-03-2023,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,59000
444,31-03-2023,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4720
445,31-03-2023,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,5900
446,31-03-2023,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1475
447,31-03-2023,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,105000
448,31-03-2023,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,300000
449,31-03-2023,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,60000
450,31-03-2023,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,15000
451,31-03-2023,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,16200
452,31-03-2023,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,29200
453,31-03-2023,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3900
454,31-03-2023,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4900
455,31-03-2023,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,16000
456,31-03-2023,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,3300
457,31-03-2023,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,31000
458,31-03-2023,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,2480
459,31-03-2023,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,3100
460,31-03-2023,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,775
461,31-03-2023,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,38500
462,31-03-2023,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,5400
463,31-03-2023,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
464,31-03-2023,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,27200
465,31-03-2023,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,3100
466,31-03-2023,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1750
467,31-03-2023,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1700
468,31-03-2023,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2700
469,31-03-2023,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,2000
470,31-03-2023,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,91000
471,31-03-2023,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,7280
472,31-03-2023,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,9100
473,31-03-2023,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,2275
474,31-03-2023,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,29000
475,31-03-2023,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,70000
476,31-03-2023,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5600
477,31-03-2023,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,7000
478,31-03-2023,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1750
479,31-03-2023,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,4500
480,31-03-2023,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,2500
481,31-03-2023,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,3500
482,30-04-2023,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,60500
483,30-04-2023,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4840
484,30-04-2023,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,6050
485,30-04-2023,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1513
486,30-04-2023,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,107500
487,30-04-2023,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,300000
488,30-04-2023,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,65000
489,30-04-2023,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,15000
490,30-04-2023,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,16300
491,30-04-2023,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,30000
492,30-04-2023,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3900
493,30-04-2023,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4900
494,30-04-2023,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,16000
495,30-04-2023,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,3300
496,30-04-2023,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,36000
497,30-04-2023,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,2880
498,30-04-2023,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,3600
499,30-04-2023,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,900
500,30-04-2023,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,40800
501,30-04-2023,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,5400
502,30-04-2023,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
503,30-04-2023,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,27200
504,30-04-2023,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1750
505,30-04-2023,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1800
506,30-04-2023,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2700
507,30-04-2023,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,2000
508,30-04-2023,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,91000
509,30-04-2023,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,7280
510,30-04-2023,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,9100
511,30-04-2023,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,2275
512,30-04-2023,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,30000
513,30-04-2023,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,71500
514,30-04-2023,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5720
515,30-04-2023,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,7150
516,30-04-2023,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1788
517,31-05-2023,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,60500
518,31-05-2023,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4840
519,31-05-2023,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,6050
520,31-05-2023,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1513
521,31-05-2023,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,110000
522,31-05-2023,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,350000
523,31-05-2023,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,65000
524,31-05-2023,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,17500
525,31-05-2023,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,18400
526,31-05-2023,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,30800
527,31-05-2023,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3900
528,31-05-2023,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4900
529,31-05-2023,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,16000
530,31-05-2023,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,3400
531,31-05-2023,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,36000
532,31-05-2023,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,2880
533,31-05-2023,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,3600
534,31-05-2023,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,900
535,31-05-2023,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,39800
536,31-05-2023,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,5400
537,31-05-2023,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
538,31-05-2023,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,27200
539,31-05-2023,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1800
540,31-05-2023,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1800
541,31-05-2023,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2700
542,31-05-2023,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,2000
543,31-05-2023,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,93000
544,31-05-2023,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,7440
545,31-05-2023,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,9300
546,31-05-2023,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,2325
547,31-05-2023,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,31000
548,31-05-2023,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,71500
549,31-05-2023,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5720
550,31-05-2023,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,7150
551,31-05-2023,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1788
552,30-06-2023,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,62000
553,30-06-2023,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4960
554,30-06-2023,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,6200
555,30-06-2023,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1550
556,30-06-2023,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,112500
557,30-06-2023,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,350000
558,30-06-2023,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,65000
559,30-06-2023,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,17500
560,30-06-2023,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,18500
561,30-06-2023,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,31500
562,30-06-2023,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3900
563,30-06-2023,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4900
564,30-06-2023,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,16000
565,30-06-2023,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,3500
566,30-06-2023,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,36000
567,30-06-2023,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,2880
568,30-06-2023,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,3600
569,30-06-2023,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,900
570,30-06-2023,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,41500
571,30-06-2023,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,5400
572,30-06-2023,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
573,30-06-2023,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,27200
574,30-06-2023,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,3300
575,30-06-2023,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1800
576,30-06-2023,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1800
577,30-06-2023,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2700
578,30-06-2023,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,2000
579,30-06-2023,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,93000
580,30-06-2023,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,7440
581,30-06-2023,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,9300
582,30-06-2023,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,2325
583,30-06-2023,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,32000
584,30-06-2023,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,73000
585,30-06-2023,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5840
586,30-06-2023,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,7300
587,30-06-2023,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1825
588,30-06-2023,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,4500
589,30-06-2023,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,2500
590,30-06-2023,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,3500
591,31-07-2023,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,62000
592,31-07-2023,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4960
593,31-07-2023,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,6200
594,31-07-2023,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1550
595,31-07-2023,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,115000
596,31-07-2023,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,350000
597,31-07-2023,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,70000
598,31-07-2023,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,17500
599,31-07-2023,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,18600
600,31-07-2023,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,32200
601,31-07-2023,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,4100
602,31-07-2023,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,5100
603,31-07-2023,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,16500
604,31-07-2023,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,3600
605,31-07-2023,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,41000
606,31-07-2023,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,3280
607,31-07-2023,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,4100
608,31-07-2023,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,1025
609,31-07-2023,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,43500
610,31-07-2023,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,5500
611,31-07-2023,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8200
612,31-07-2023,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,27800
613,31-07-2023,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1850
614,31-07-2023,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1800
615,31-07-2023,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2800
616,31-07-2023,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,2000
617,31-07-2023,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,95000
618,31-07-2023,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,7600
619,31-07-2023,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,9500
620,31-07-2023,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,2375
621,31-07-2023,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,33000
622,31-07-2023,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,73000
623,31-07-2023,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5840
624,31-07-2023,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,7300
625,31-07-2023,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1825
626,31-08-2023,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,63500
627,31-08-2023,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,5080
